Beat Count,Instrument 1,Instrument 2,Section
338,Bass Drum,Tom-tom,
e,,,
&,Ghost Note,,
a,,,
339,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
340,Ghost Note,,
e,,,
&,Bass Drum,Ghost Note,
a,,,
341,Snare Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
342,Bass Drum,Ghost Note,
e,,,
&,Ghost Note,,
a,,,
343,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
344,Ghost Note,,
e,,,
&,Bass Drum,Ghost Note,
a,,,
345,Snare Drum,Ghost Note,
e,,,
&,Bass Drum,Ghost Note,
a,,,
346,Snare Drum,Tom-tom,
e,,,
&,Tom-tom,Snare Drum,
a,,,
347,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
348,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
349,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
350,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
351,Tom-tom,Snare Drum,
e,,,
&,Tom-tom,Snare Drum,
a,,,
352,Snare Drum,Snare Drum,
e,,,
&,Bass Drum,,
a,,,
353,Snare Drum,Snare Drum,
e,,,
&,,,
a,,,
354,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
355,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
356,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
357,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
358,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
359,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
360,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
361,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
362,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
363,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
364,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
365,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
366,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
367,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
368,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
369,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
370,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
371,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
372,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
373,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
374,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
375,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
376,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
377,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
378,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
379,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
380,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
381,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
382,Bass Drum,Tom-tom,
e,,,
&,Bass Drum,Tom-tom,
a,,,
383,,,
e,Bass Drum,Tom-tom,
&,,,
a,,,
384,Bass Drum,Tom-tom,
e,,,
&,Bass Drum,Tom-tom,
a,,,
385,,,
e,Bass Drum,Tom-tom,
&,,,
a,,,
386,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
387,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
388,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
389,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
390,Bass Drum,Tom-tom,
e,,,
&,Hi-Hat (Open),,
a,,,
391,Snare Drum,Hi-Hat (Open),
e,,,
&,Bass Drum,Tom-tom,
a,,,
392,Hi-Hat (Open),,
e,,,
&,Bass Drum,Hi-Hat (Open),
a,,,
393,Snare Drum,Hi-Hat (Open),
e,,,
&,Hi-Hat (Open),,
a,,,
394,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
395,Hi-Hat (Open),,
e,,,
&,,,
a,,,
396,Hi-Hat (Open),,
e,,,
&,,,
a,,,
397,Hi-Hat (Open),,
e,,,
&,,,
a,,,
398,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
399,Hi-Hat (Open),,
e,,,
&,,,
a,,,
400,Bass Drum,Tom-tom,
e,,,
&,,,
a,,,
401,Hi-Hat (Open),,
e,,,
&,,,
a,,,
402,Bass Drum,Tom-tom,
